"p_id","program","comments","date_added","url","status","term","us_or_international","gpa","gre","gre_v","gre_aw","degree"
38,"Teachers College at Columbia University, Clinical Psychology","I didn't receive any email notification of my admissions decision. I was refreshing the portal and I found out that I was waitlisted.

Please decline your spot if you're not going to attend!","2025-05-30","https://www.thegradcafe.com/result/986064","Wait listed on 30 May","Fall 2025","American",NULL,NULL,NULL,NULL,"Masters"
39,"ETH Zurich, Environmental Science","NA","2025-05-30","https://www.thegradcafe.com/result/986063","Accepted on 15 Mar","Fall 2025","International","3.84","340",NULL,NULL,"Masters"
40,"McMaster University, Occupational Therapy","NA","2025-05-30","https://www.thegradcafe.com/result/986062","Accepted on 15 May","Fall 2025","International","3.9",NULL,NULL,NULL,"Masters"
41,"Toulouse School of Economics, Economics","NA","2025-05-30","https://www.thegradcafe.com/result/986061","Accepted on 12 Dec","Fall 2025","International","3.85","327","159",NULL,"Masters"
42,"Florida State University, Social Work","NA","2025-05-30","https://www.thegradcafe.com/result/986060","Accepted on 29 May","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
43,"Stanford University, Electrical Engineering","Part-time Masters (HCP). 4 non-first-author publication, 4 internships, 3 strong LoRs, 1 Military Commissioning, lots of research, innovation, and leadership experience.","2025-05-29","https://www.thegradcafe.com/result/986059","Accepted on 29 May","Fall 2025","American","3.79",NULL,NULL,NULL,"Masters"
44,"Columbia University, Biomedical Engineering","Grad GPA: 3:63","2025-05-29","https://www.thegradcafe.com/result/986058","Rejected on 29 May","Fall 2025","American","3.53",NULL,NULL,NULL,"PhD"
45,"Stanford University, Electrical Engineering","Part-time Masters (HCP). 1 publication not as primary author. At least 2 strong LoRs. 16 months internship experience at ""big"" tech.","2025-05-29","https://www.thegradcafe.com/result/986057","Rejected on 29 May","Fall 2025","International","3.85",NULL,NULL,NULL,"Masters"
46,"Purdue University, Mechanical Engineering","NA","2025-05-29","https://www.thegradcafe.com/result/986056","Rejected on 28 May","Fall 2025","International","3.8",NULL,NULL,NULL,"PhD"
47,"University of Toronto, Kinesiology","Ignore Status Has anyone heard back for Master of Sports Science of Masters of Kinesiology???","2025-05-29","https://www.thegradcafe.com/result/986055","Wait listed on 5 Feb","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
48,"Colorado State University, Chemistry","NA","2025-05-29","https://www.thegradcafe.com/result/986054","Rejected on 27 May","Fall 2025","International","3.39",NULL,NULL,NULL,"PhD"
49,"Texas A&M University - Commerce, Applied Linguistics","Texas A&M Commerce offers the option of completing the doctoral program online.","2025-05-28","https://www.thegradcafe.com/result/986053","Accepted on 27 May","Fall 2025","American","3.9","163","170",NULL,"PhD"
50,"University of Denver, School Psychology","Eeek! If you aren’t going, plz decline 😬","2025-05-28","https://www.thegradcafe.com/result/986052","Wait listed on 28 May","Fall 2025","American",NULL,NULL,NULL,NULL,"PhD"
51,"Southern Methodist University, Statistics","NA","2025-05-28","https://www.thegradcafe.com/result/986051","Rejected on 27 May","Fall 2025","American",NULL,NULL,NULL,NULL,"PhD"
52,"Cornell University, Regional Planning","NA","2025-05-28","https://www.thegradcafe.com/result/986050","Accepted on 26 Feb","Fall 2025","American","3.9",NULL,NULL,NULL,"Masters"
53,"Ecole Polytechnique Federale De Lausanne (EPFL), Computer Science","There are two possible ways to join the program: either with a one-year EDIC fellowship, or by being hired directly by an EDIC-affiliated lab. Your application has unfortunately not been selected for a fellowship; however, you are considered eligible for the program. (Part of email from the admission office)

This means I must now seek a lab that is willing to fund my doctoral studies. I have also heard that securing a fellowship in the 2nd round is exceptionally difficult; however, the department has decided to discontinue the 2nd round starting in 2026. Best of luck to future applicants.","2025-05-28","https://www.thegradcafe.com/result/986049","Wait listed on 27 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
54,"Rutgers University, Health Administration","Doctorate of Health Administration (DHA) program acceptance via email 5/27/25 for Fall 2025. 

3.8 undergrad, dismissed from one Masters program, yeah you're over here 4.0 in most recent Masters in health administration. Employment - Manager of revenue cycle applications at a large health system in the US.","2025-05-28","https://www.thegradcafe.com/result/986048","Accepted on 27 May","Fall 2025","American","3.8",NULL,NULL,NULL,"Other"
55,"Purdue University, Mechanical Engineering","Rejection after waiting for almost 6 months.","2025-05-28","https://www.thegradcafe.com/result/986047","Rejected on 28 May","Fall 2025","International","3.72",NULL,NULL,NULL,"PhD"
56,"Osmania University, Computer Science","NA","2025-05-28","https://www.thegradcafe.com/result/986046","Accepted on 5 Apr","Fall 2025","International","2.96",NULL,NULL,NULL,"Masters"
57,"McGill University, Mathematics and Statistics","UofT Undergrad Stats Spec Theory & Method Submitted on Nov, 2024","2025-05-28","https://www.thegradcafe.com/result/986045","Rejected on 27 May","Fall 2025","International","3.72",NULL,NULL,NULL,"Masters"
58,"Illinois Institute of Technology, Mechanical And Aerospace Engineering","applied following an interview with the PI in January, then arose the funding issue. waitlisted for a couple of months, finally got rejected from PhD & offered master's with partial scholarship. sums up the story of this fall admission.","2025-05-28","https://www.thegradcafe.com/result/986044","Rejected on 23 May","Fall 2025","International","3.52","319","156","3.5","PhD"
59,"University of Texas at Dallas, Mechanical Engineering","IELTS—8.5. Got accepted in January. Since then, there has been no update regarding assistantships. Reached out to all prospective advisors and the department and applied for TA. Is anyone here with an update on TA?","2025-05-28","https://www.thegradcafe.com/result/986043","Accepted on 13 Jan","Fall 2025","International","3.52","319","156","3.5","PhD"
60,"Rensselaer Polytechnic Institute, Mechanical Engineering","IELTS-8.5, 1 conference paper. No interview. Applied in December 2024.","2025-05-28","https://www.thegradcafe.com/result/986042","Rejected on 30 Apr","Fall 2025","International","3.52","319","156","3.5","PhD"
61,"Purdue University, Industrial Engineering","Yes, May 28 is when I got my application result. I have mailed the department at the beginning of April and did not get an explicit date to expect my decision. I've already decided to enroll another school though Purdue is one of my top choices. Kinda upset.","2025-05-28","https://www.thegradcafe.com/result/986041","Accepted on 28 May","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
62,"University of Waterloo, Planning","checked portal. no email.","2025-05-27","https://www.thegradcafe.com/result/986040","Rejected on 27 May","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
63,"University of Cincinnati, Physics","NA","2025-05-27","https://www.thegradcafe.com/result/986039","Rejected on 27 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
64,"University of California Riverside (UCR), Physics","why did they take so long to reject?","2025-05-27","https://www.thegradcafe.com/result/986038","Rejected on 22 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
65,"Carl von Ossietzky Universität Oldenburg, English","Invited for an interview. Position is with 65% employment, so it is salaried. 
Specialisation: Postcolonial Studies (Indian Literature in English)
(GPA is Masters)","2025-05-27","https://www.thegradcafe.com/result/986037","Interview on 16 May","Fall 2025","International","3.8",NULL,NULL,NULL,"PhD"
66,"Central Michigan University, Mathematics","Accepted without funding","2025-05-27","https://www.thegradcafe.com/result/986036","Accepted on 19 May","Fall 2025","American","3.4","327","165",NULL,"PhD"
67,"University of Alberta, Speech Language Pathology","This was my second time applying. I was waitlisted at the beginning of April and got off the waitlist late May. I had a lot of experience in SLP related areas, but had a D in Stats when I first applied. I took another Stats course and got a B that I put down on the ""required courses"" section the second time round. In my gap year, I got a job as a Behaviour Interventionist, volunteered at a Brain Injury Society doing intake interviews with Brain Injury survivors, redid my letter of interest with a Career Advisor, and asked an SLP Alumni from U of A to write my reference letter. One of my referees wasn't able to get their reference letter in on time, and they still accepted my application with just 2 references. If you're applying to U of A for SLP my best advice is to job shadow as many SLPs as you can, try gaining work experience in related fields, and focus on your letter of interest and reference letters. Keep trying! If you don't get in this year, you'll probably get in next year!!","2025-05-27","https://www.thegradcafe.com/result/986031","Accepted on 21 May","Fall 2025","International","3.7",NULL,NULL,NULL,"Masters"
68,"University of Southern California, Mechanical And Aerospace Engineering","NA","2025-05-27","https://www.thegradcafe.com/result/986030","Accepted on 22 May","Fall 2025","International","3.52",NULL,NULL,NULL,"Masters"
69,"Georgia State University, Business Administration","Accepted with GRA & stipend","2025-05-26","https://www.thegradcafe.com/result/986029","Accepted on 21 May","Fall 2025","American","3.76",NULL,NULL,NULL,"MBA"
70,"Texas A&M University - College Station, Computer Science","NA","2025-05-26","https://www.thegradcafe.com/result/986027","Accepted on 26 Apr","Fall 2025","International","3.89",NULL,NULL,NULL,"Masters"
71,"ETH Zurich, Process Engineering","1.5 on German scale","2025-05-26","https://www.thegradcafe.com/result/986026","Accepted on 27 Mar","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
72,"ETH Zurich, Data Science","NA","2025-05-26","https://www.thegradcafe.com/result/986025","Accepted on 17 Mar","Fall 2025","International","4",NULL,NULL,NULL,"Masters"
73,"University of Toronto, Electrical And Computer Engineering","NA","2025-05-25","https://www.thegradcafe.com/result/986024","Accepted on 25 May","Fall 2025","International","3.1",NULL,NULL,NULL,"Masters"
74,"Georgia State University, Performance Studies","NA","2025-05-25","https://www.thegradcafe.com/result/986023","Accepted on 23 May","Fall 2025","American","3.87",NULL,NULL,NULL,"Masters"
75,"Temple University, Medical Dosimetry","NA","2025-05-25","https://www.thegradcafe.com/result/986022","Wait listed on 23 May","Fall 2025","American","3.37",NULL,NULL,NULL,"Masters"
76,"Northwestern University, Learning and Organizational Change","NA","2025-05-24","https://www.thegradcafe.com/result/986021","Accepted on 25 Apr","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
77,"University of Victoria, Mathematics","Thesis-based MSc, 2 bachelor's degrees in software engineering and pure mathematics, 2 years work experience, 2 semesters research experience, 1 grad level class in functional analysis","2025-05-24","https://www.thegradcafe.com/result/986020","Rejected on 24 May","Fall 2025","American","3.84",NULL,NULL,NULL,"Masters"
78,"Trinity College Dublin, English","Had to decline bc no funding secured :(","2025-05-24","https://www.thegradcafe.com/result/986019","Accepted on 5 May","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
79,"Birkbeck, University of London, Philosophy","most academic philosophers would make such horrible, incompetent leaders and even co-workers. i think they're rightly punished crunched up in some life-draining position for the rest of their miserable lives","2025-05-24","https://www.thegradcafe.com/result/986018","Rejected on 20 May","Spring 2025","American",NULL,NULL,NULL,NULL,"MBA"
80,"Institute of Fine Arts, New York University, History of Art and Archaeology","Rejected after being waitlisted, was told no one got accepted off the waitlist this year","2025-05-24","https://www.thegradcafe.com/result/986017","Rejected on 22 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
81,"University of Delaware, Electrical And Computer Engineering","NA","2025-05-23","https://www.thegradcafe.com/result/986016","Rejected on 23 May","Fall 2025","International","3.2",NULL,NULL,NULL,"PhD"
82,"Central Michigan University, Computer Science","NA","2025-05-23","https://www.thegradcafe.com/result/986015","Rejected on 23 May","Fall 2025","International","3.5",NULL,NULL,NULL,"Masters"
83,"University of New Hampshire, Physics And Astronomy","NA","2025-05-23","https://www.thegradcafe.com/result/986014","Rejected on 23 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
84,"Syracuse University, Biotechnology","NA","2025-05-23","https://www.thegradcafe.com/result/986013","Rejected on 20 May","Fall 2025","American",NULL,NULL,NULL,NULL,"Masters"
85,"Tulane University, Public Health","Online program. $30k scholarship offered. Absolutely thrilled! About a 4 week turnaround after applying (and poking them).","2025-05-23","https://www.thegradcafe.com/result/986012","Accepted on 23 May","Fall 2025","American",NULL,NULL,NULL,NULL,"Masters"
86,"Creighton University, Physics","Got an email saying to check the portal with decision letter","2025-05-23","https://www.thegradcafe.com/result/986011","Accepted on 23 May","Fall 2025","American","3.38",NULL,NULL,NULL,"Masters"
87,"Institut d'Etudes Politiques de Paris (Sciences Po), Economics","Submitted application without GRE","2025-05-23","https://www.thegradcafe.com/result/986010","Accepted on 23 May","Fall 2025","American","3.8","157","154","4","Masters"
88,"University of Oxford, Public Policy","NA","2025-05-23","https://www.thegradcafe.com/result/986009","Wait listed on 13 Mar","Fall 2025","International","3.98",NULL,NULL,NULL,"Masters"
89,"Stevens Institute of Technology, Computer Engineering","NA","2025-05-23","https://www.thegradcafe.com/result/986008","Rejected on 22 May","Fall 2025","International","3.2",NULL,NULL,NULL,"PhD"
90,"University of Illinois Chicago(UIC), Electrical And Computer Engineering","The deparment sent me an email notifying me of my acceptance and the specifics about funding.","2025-05-23","https://www.thegradcafe.com/result/986007","Accepted on 14 May","Fall 2025","International","3.42",NULL,NULL,NULL,"PhD"
91,"University of Geneva, Physics","NA","2025-05-22","https://www.thegradcafe.com/result/986006","Accepted on 22 May","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
92,"Simon Fraser University, Communication","Domestic student","2025-05-22","https://www.thegradcafe.com/result/986005","Rejected on 22 May","Fall 2025","International","4.07",NULL,NULL,NULL,"Masters"
93,"University of British Columbia, Statistics","It is 3.82GPA on 4.33 scale, I am guessing it is 3.5 on 4.0 scale…

I applied on Jan 6(23 hours before deadline) and received the rejection email from admiss@stat.ubc.ca","2025-05-22","https://www.thegradcafe.com/result/986004","Rejected on 22 May","Fall 2025","International","3.5",NULL,NULL,NULL,"Masters"
94,"University of Oxford, Public Policy","NA","2025-05-22","https://www.thegradcafe.com/result/986003","Accepted on 13 Mar","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
95,"University of Toronto, Biochemistry","NA","2025-05-22","https://www.thegradcafe.com/result/986002","Accepted on 20 May","Fall 2025","International","3.98",NULL,NULL,NULL,"Masters"
96,"University of Groningen, Psychology","NA","2025-05-22","https://www.thegradcafe.com/result/986001","Rejected on 22 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
97,"Nebraska-Lincoln, Earth and Atmospheric Sciences","After a along time of being waitlisted, I am happy to get relieved of agony of suspense","2025-05-22","https://www.thegradcafe.com/result/986000","Rejected on 21 May","Fall 2025","International","3.45",NULL,NULL,NULL,"PhD"
98,"NYU Grossman School of Medicine, Gender Studies","The sharpest mind in the room, locked away because the world couldn’t handle it - we live in a world where people dont wanna hear the truth but what agrees with them :(","2025-05-22","https://www.thegradcafe.com/result/985999","Rejected on 8 May","Fall 2025","American",NULL,NULL,NULL,NULL,"JD"
99,"Boston University, Electrical Engineering","NA","2025-05-22","https://www.thegradcafe.com/result/985998","Accepted on 22 May","Fall 2025","International","3.52",NULL,NULL,NULL,"Masters"
100,"Pepperdine University, Speech Language Pathology","NA","2025-05-22","https://www.thegradcafe.com/result/985997","Wait listed on 21 May","Fall 2025","American","2.8",NULL,NULL,NULL,"Masters"
101,"University of Southern California, Mechanical And Aerospace Engineering","NA","2025-05-22","https://www.thegradcafe.com/result/985996","Accepted on 22 May","Fall 2025","International","3.21",NULL,NULL,NULL,"Masters"
102,"National University of Singapore, Anthropology","NA","2025-05-21","https://www.thegradcafe.com/result/985995","Accepted on 20 May","Fall 2025","International",NULL,NULL,NULL,NULL,"PhD"
103,"NYU Steinhardt, Social Psychology","Not surprised because this cycle has been extra vicious. Frustrated by the amount of time it took them, though.","2025-05-21","https://www.thegradcafe.com/result/985994","Rejected on 20 May","Fall 2025","American","3.82",NULL,NULL,NULL,"PhD"
104,"Eastern Michigan University, Speech Language Pathology","3.91 cumulative GPA, double major in SLHS and psychology with minor in ASL, practicum and RBT experience, extracurriculars and leadership","2025-05-21","https://www.thegradcafe.com/result/985993","Accepted on 24 Feb","Fall 2025","American","3.91",NULL,NULL,NULL,"Masters"
105,"Western Michigan University, Speech Language Pathology","3.91 cumulative GPA, double major in SLHS and psychology with minor in ASL, practicum and RBT experience, extracurriculars and leadership","2025-05-21","https://www.thegradcafe.com/result/985992","Accepted on 20 Feb","Fall 2025","American","3.91",NULL,NULL,NULL,"Masters"
106,"Purdue University, Speech Language Pathology","3.91 cumulative GPA, double major in SLHS and psychology with minor in ASL, RBT and practicum experience, leadership and extracurriculars","2025-05-21","https://www.thegradcafe.com/result/985991","Rejected on 18 Feb","Fall 2025","American","3.91",NULL,NULL,NULL,"Masters"
107,"Wayne State University, Speech Language Pathology","3.91 cumulative GPA, double major in SLHS and psychology with major in ASL, extracurricular and leadership","2025-05-21","https://www.thegradcafe.com/result/985990","Accepted on 9 Feb","Fall 2025","American","3.91",NULL,NULL,NULL,"Masters"
108,"California Baptist University, Speech Language Pathology","NA","2025-05-21","https://www.thegradcafe.com/result/985989","Wait listed on 18 Mar","Fall 2025","American",NULL,NULL,NULL,NULL,"Masters"
109,"Columbia University, Visual Arts","NA","2025-05-21","https://www.thegradcafe.com/result/985988","Accepted on 17 Feb","Fall 2025","International","4",NULL,NULL,NULL,"MFA"
110,"Beijing New Asia University, Philosophy","When creatures like a Murray and c Tillman are “academic philosophers”, it’s them who are “train wrecks” MORONS","2025-05-21","https://www.thegradcafe.com/result/985987","Interview on 21 May","Spring 2025","American",NULL,NULL,NULL,NULL,"JD"
111,"New York Automotive and Diesel Institute, Philosophy","The sharpest mind in the room, locked away because the world couldn’t handle it - that’s exactly what my classes and hypocrite profs do. Took them long enough to trash my paper with pseudo objections!","2025-05-21","https://www.thegradcafe.com/result/985986","Rejected on 21 May","Spring 2025","American",NULL,NULL,NULL,NULL,"PhD"
112,"Southern Missouri State University, History","NA","2025-05-21","https://www.thegradcafe.com/result/985985","Accepted on 21 May","Fall 2024","International",NULL,NULL,NULL,NULL,"Masters"
113,"Harding University, Communication Sciences And Disorders","NA","2025-05-21","https://www.thegradcafe.com/result/985984","Accepted on 19 Mar","Fall 2025","American","3.83",NULL,NULL,NULL,"Masters"
114,"Columbia University, International Affairs","Straight from undergrad at a Top 35+ US institution. Strong POLS and IR background with a triple major in Hx/POLS/Int Stud. Did not submit GRE. Strong LORs and three relevant internships. No word on scholarship. Not my top choice so far. Also accepted by JHU SAIS and UChicago CIR.","2025-05-21","https://www.thegradcafe.com/result/985983","Accepted on 7 Mar","Fall 2025","International","3.9",NULL,NULL,NULL,"Masters"
115,"University of Delaware, BUSINESS ANALYTIS AND INFORMATION MANAGEMENT","NA","2025-05-21","https://www.thegradcafe.com/result/985982","Interview on 21 Mar","Fall 2025","International","3.52",NULL,NULL,NULL,"Masters"
116,"Johns Hopkins University, International Relations","Straight from undergrad at a Top 35+ US institution. Strong POLS and IR background with a triple major in Hx/POLS/IR. Did not submit GRE. Strong LORs and three relevant internships. Received scholarship. My top choice so far. Also accepted by Columbia SIPA and UChicago CIR.","2025-05-21","https://www.thegradcafe.com/result/985981","Accepted on 11 Mar","Fall 2025","International","3.9",NULL,NULL,NULL,"Masters"
117,"Andrews University, Architecture","NA","2025-05-21","https://www.thegradcafe.com/result/985980","Accepted on 20 May","Fall 2025","American","3.76","312","160",NULL,"Masters"
118,"Simon Fraser University, Applied And Computational Mathematics","Thesis-based MSc, 2 bachelor's degrees in software engineering and pure mathematics, 2 years work experience, 2 semesters research experience, 1 grad level class in functional analysis","2025-05-21","https://www.thegradcafe.com/result/985979","Rejected on 20 May","Fall 2025","American","3.84",NULL,NULL,NULL,"Masters"
119,"University of Washington, Data Science","Wailtlisted then accepted off waitlist","2025-05-20","https://www.thegradcafe.com/result/985978","Accepted on 9 May","Fall 2025","International","4",NULL,NULL,NULL,"Masters"
120,"University of Alberta, Library And Information Science","Canadian applicant, from Ontario. Applied to the online program. Good luck to everyone else!","2025-05-20","https://www.thegradcafe.com/result/985977","Rejected on 20 May","Fall 2025","International",NULL,NULL,NULL,NULL,"Masters"
121,"University of Toronto, Medical Genomics","Had to reach out by email and phone several times to eventually find out my application was waitlisted. I should hear back in late June to early July.","2025-05-20","https://www.thegradcafe.com/result/985976","Wait listed on 20 May","Fall 2025","International","4",NULL,NULL,NULL,"Masters"
122,"University of Southern California, Digital Media Management","NA","2025-05-20","https://www.thegradcafe.com/result/985975","Accepted on 12 May","Fall 2025","American","2.9",NULL,NULL,NULL,"Masters"
